county,state,2016,2017,2018,rank in State,% change 2017,% change 2018,rank 2018
Saginaw,Michigan,36722,37286,38754,52,1.5,3.9,72
Sanilac,Michigan,35104,36266,38004,55,3.3,4.8,42
Schoolcraft,Michigan,36917,37916,39948,43,2.7,5.4,23
Shiawassee,Michigan,36690,37681,39435,47,2.7,4.7,48
Tuscola,Michigan,35356,35719,37979,56,1,6.3,4
Washtenaw,Michigan,54377,56729,59363,4,4.3,4.6,51
Wexford,Michigan,33864,34847,36454,67,2.9,4.6,53
Minnesota,Minnesota,53209,54919,57515,--,3.2,4.7,--
Aitkin,Minnesota,36664,37916,39780,84,3.4,4.9,39
Anoka,Minnesota,47569,49157,51258,33,3.3,4.3,53
Becker,Minnesota,44531,45639,47272,56,2.5,3.6,68
Beltrami,Minnesota,38780,39503,41565,83,1.9,5.2,33
Blue Earth,Minnesota,42237,43134,44383,65,2.1,2.9,75
Carlton,Minnesota,39788,41096,43098,76,3.3,4.9,40
Carver,Minnesota,66059,68645,71350,2,3.9,3.9,62
Chisago,Minnesota,45082,46871,48750,45,4,4,60
Cottonwood,Minnesota,41804,44907,47982,52,7.4,6.8,18
Crow Wing,Minnesota,42105,43526,45610,61,3.4,4.8,42
Dakota,Minnesota,56037,58016,60651,5,3.5,4.5,49
Faribault,Minnesota,36558,39293,43343,73,7.5,10.3,7
Fillmore,Minnesota,41126,42314,45378,62,2.9,7.2,15
Freeborn,Minnesota,40579,42680,45808,60,5.2,7.3,13
Goodhue,Minnesota,48496,50549,53549,21,4.2,5.9,24
Hennepin,Minnesota,69222,71259,74698,1,2.9,4.8,41
Hubbard,Minnesota,40118,41490,43235,74,3.4,4.2,55
Isanti,Minnesota,41858,42424,44049,68,1.4,3.8,64
Itasca,Minnesota,39935,40982,43685,72,2.6,6.6,20
Kanabec,Minnesota,40955,41568,42509,79,1.5,2.3,81
Kandiyohi,Minnesota,49953,52905,54667,19,5.9,3.3,72
Kittson,Minnesota,50354,51621,55597,14,2.5,7.7,12
Koochiching,Minnesota,38220,39101,41890,81,2.3,7.1,16
Lac qui Parle,Minnesota,49535,49663,55688,13,0.3,12.1,2
Lake of the Woods,Minnesota,49748,54505,57357,10,9.6,5.2,32
Le Sueur,Minnesota,46203,47571,48799,44,3,2.6,80
McLeod,Minnesota,46913,48060,49136,42,2.4,2.2,83
Mahnomen,Minnesota,37585,35314,36950,87,-6,4.6,47
Meeker,Minnesota,40670,42780,43944,70,5.2,2.7,77
Mille Lacs,Minnesota,39689,40411,41582,82,1.8,2.9,74
Morrison,Minnesota,39418,40898,42568,78,3.8,4.1,59
Mower,Minnesota,43615,44400,48423,48,1.8,9.1,9
Nicollet,Minnesota,46023,48282,49605,40,4.9,2.7,76
Nobles,Minnesota,41543,43642,45100,63,5.1,3.3,71
Norman,Minnesota,40843,39765,44254,66,-2.6,11.3,5
Olmsted,Minnesota,53196,55163,58554,8,3.7,6.1,22
Otter Tail,Minnesota,45142,46460,48275,49,2.9,3.9,63
Pennington,Minnesota,51393,52920,55399,15,3,4.7,44
Pine,Minnesota,35183,36249,37067,86,3,2.3,82
Pipestone,Minnesota,50967,55698,58004,9,9.3,4.1,58
Ramsey,Minnesota,51340,52490,54934,17,2.2,4.7,46
Red Lake,Minnesota,46728,50000,51750,28,7,3.5,70
Redwood,Minnesota,49159,47379,49732,39,-3.6,5,38
Renville,Minnesota,49505,50475,51432,30,2,1.9,84
Rock,Minnesota,48428,50413,51956,27,4.1,3.1,73
Roseau,Minnesota,45981,47835,51307,32,4,7.3,14
St. Louis,Minnesota,43416,44863,47417,55,3.3,5.7,26
Sherburne,Minnesota,43787,45221,47031,58,3.3,4,61
Sibley,Minnesota,45256,47136,46632,59,4.2,-1.1,87
Stearns,Minnesota,43408,45278,47196,57,4.3,4.2,54
Steele,Minnesota,42306,44454,47604,53,5.1,7.1,17
Swift,Minnesota,47347,46025,51320,31,-2.8,11.5,4
Traverse,Minnesota,52999,51591,61255,4,-2.7,18.7,1
Wabasha,Minnesota,44064,46270,48724,46,5,5.3,31
Wadena,Minnesota,37187,38325,39746,85,3.1,3.7,67
Waseca,Minnesota,42969,42952,44556,64,0,3.7,65
Watonwan,Minnesota,39502,42773,42979,77,8.3,0.5,85
Wilkin,Minnesota,51691,53576,59516,7,3.6,11.1,6
Winona,Minnesota,46660,47477,50036,36,1.8,5.4,29
Yellow Medicine,Minnesota,54917,53681,57186,12,-2.3,6.5,21
Alcorn,Mississippi,33076,34364,36003,28,3.9,4.8,14
Amite,Mississippi,30465,32432,33460,51,6.5,3.2,67
Attala,Mississippi,32156,32603,33809,48,1.4,3.7,48
Bolivar,Mississippi,35451,36104,38213,14,1.8,5.8,6
Coahoma,Mississippi,33335,32818,33915,46,-1.6,3.3,59
Copiah,Mississippi,31247,32250,33203,52,3.2,3,72
Forrest,Mississippi,36793,37202,38880,10,1.1,4.5,18
George,Mississippi,31432,31697,32529,57,0.8,2.6,74
Grenada,Mississippi,33859,34458,35632,32,1.8,3.4,55
Hinds,Mississippi,37817,37633,39311,8,-0.5,4.5,23
Humphreys,Mississippi,28869,29932,31864,65,3.7,6.5,4
Issaquena,Mississippi,18428,10996,18541,82,-40.3,68.6,1
Itawamba,Mississippi,32441,33582,34734,37,3.5,3.4,54
Kemper,Mississippi,28470,28571,29287,76,0.4,2.5,78
Leake,Mississippi,27422,30286,31436,69,10.4,3.8,42
Leflore,Mississippi,33601,34769,36399,26,3.5,4.7,15
Neshoba,Mississippi,33388,35409,36604,24,6.1,3.4,57
Noxubee,Mississippi,30451,31581,32805,56,3.7,3.9,41
Oktibbeha,Mississippi,32257,32748,34367,42,1.5,4.9,11
Panola,Mississippi,31052,31684,32496,58,2,2.6,77
Pearl River,Mississippi,34446,34803,36230,27,1,4.1,32
Pontotoc,Mississippi,31118,31956,32996,55,2.7,3.3,63
Prentiss,Mississippi,29116,29794,30743,72,2.3,3.2,66
Rankin,Mississippi,42738,43135,44661,2,0.9,3.5,53
Sharkey,Mississippi,28708,30238,32070,63,5.3,6.1,5
Sunflower,Mississippi,28422,28926,30859,71,1.8,6.7,3
Tallahatchie,Mississippi,27223,27157,27757,79,-0.2,2.2,79
Tate,Mississippi,33575,33572,35182,34,0,4.8,13
Tippah,Mississippi,31530,32614,33919,45,3.4,4,36
Tishomingo,Mississippi,31468,31711,33559,50,0.8,5.8,7
Tunica,Mississippi,33576,31035,32425,59,-7.6,4.5,19
Walthall,Mississippi,29402,31271,31757,66,6.4,1.6,82
Yalobusha,Mississippi,34366,35020,36729,23,1.9,4.9,12
Yazoo,Mississippi,26840,26303,27275,80,-2,3.7,49
Missouri,Missouri,44336,45744,47746,--,3.2,4.4,--
Andrew,Missouri,42068,43627,45118,14,3.7,3.4,60
Audrain,Missouri,38549,38248,40111,41,-0.8,4.9,15
Bates,Missouri,35799,37826,38864,50,5.7,2.7,79
Bollinger,Missouri,30957,31359,32454,96,1.3,3.5,57
Callaway,Missouri,35690,37438,38686,53,4.9,3.3,63
Cape Girardeau,Missouri,42557,44258,46314,10,4,4.6,22
Chariton,Missouri,40202,42176,42227,25,4.9,0.1,105
Cole,Missouri,43985,45975,47790,5,4.5,3.9,40
Cooper,Missouri,35985,37778,38916,48,5,3,71
Dent,Missouri,31064,31694,33231,91,2,4.8,17
Dunklin,Missouri,31743,32503,34129,83,2.4,5,11
Gasconade,Missouri,36383,38720,40316,38,6.4,4.1,35
Gentry,Missouri,39091,42137,41470,29,7.8,-1.6,109
Hickory,Missouri,25965,26925,27787,115,3.7,3.2,66
Holt,Missouri,45482,46192,45259,13,1.6,-2,111
Laclede,Missouri,32932,35355,36558,63,7.4,3.4,62
McDonald,Missouri,26266,27565,28018,114,4.9,1.6,96
Maries,Missouri,31405,31914,33348,89,1.6,4.5,26
Moniteau,Missouri,33897,36487,37533,58,7.6,2.9,74
New Madrid,Missouri,30408,32116,33869,86,5.6,5.5,8
Nodaway,Missouri,28918,29854,31013,102,3.2,3.9,42
Oregon,Missouri,27532,28216,28722,110,2.5,1.8,94
Ozark,Missouri,28664,29019,30043,105,1.2,3.5,53
Pemiscot,Missouri,31705,31486,32811,93,-0.7,4.2,30
Pettis,Missouri,35803,36732,37763,56,2.6,2.8,76
Phelps,Missouri,36554,37711,39132,47,3.2,3.8,46
Platte,Missouri,55010,57099,58878,2,3.8,3.1,70
Ralls,Missouri,39612,40118,40698,33,1.3,1.4,99
Ray,Missouri,39498,40694,42305,24,3,4,38
Reynolds,Missouri,31492,33096,35034,73,5.1,5.9,6
Ste. Genevieve,Missouri,36074,38041,41822,27,5.5,9.9,1
St. Francois,Missouri,31885,32899,34485,79,3.2,4.8,18
Scotland,Missouri,32110,32456,33262,90,1.1,2.5,85
Shannon,Missouri,28045,28352,30503,103,1.1,7.6,2
Stoddard,Missouri,35224,36037,37020,60,2.3,2.7,81
Taney,Missouri,34334,34736,35956,66,1.2,3.5,55
Texas,Missouri,25942,27080,28169,113,4.4,4,37
St. Louis City,Missouri,43027,45137,47643,7,4.9,5.6,7
Montana,Montana,43721,45312,47538,--,3.6,4.9,--
Beaverhead,Montana,43585,43053,44664,28,-1.2,3.7,43
Big Horn,Montana,27482,28131,30533,56,2.4,8.5,11
Broadwater,Montana,37640,38075,39306,43,1.2,3.2,47
Carbon,Montana,44435,44912,47442,19,1.1,5.6,24
Cascade,Montana,43955,45291,47518,18,3,4.9,32
Chouteau,Montana,31717,32696,37340,46,3.1,14.2,3
Daniels,Montana,39754,36517,48086,16,-8.1,31.7,1
Deer Lodge,Montana,36609,37837,39063,45,3.4,3.2,46
Fallon,Montana,46538,48075,49509,8,3.3,3,48
Fergus,Montana,40262,41218,43808,33,2.4,6.3,19
Flathead,Montana,43837,45604,47331,20,4,3.8,42
Glacier,Montana,31852,32465,34458,53,1.9,6.1,21
Golden Valley,Montana,50926,45549,49137,10,-10.6,7.9,13
Granite,Montana,40176,41675,43791,34,3.7,5.1,30
Hill,Montana,41999,42696,45017,25,1.7,5.4,26
Judith Basin,Montana,49322,45571,50492,7,-7.6,10.8,7
Lewis and Clark,Montana,45750,47214,48562,13,3.2,2.9,49
McCone,Montana,41282,37820,42209,38,-8.4,11.6,4
Meagher,Montana,44559,43317,46128,22,-2.8,6.5,17
Missoula,Montana,44646,47086,49492,9,5.5,5.1,29
Musselshell,Montana,37384,40034,43133,35,7.1,7.7,14
Petroleum,Montana,41494,34908,35772,49,-15.9,2.5,53
Pondera,Montana,40676,38417,42363,36,-5.6,10.3,8
Powder River,Montana,35872,32616,32479,54,-9.1,-0.4,55
Ravalli,Montana,40481,42519,44602,29,5,4.9,33
Roosevelt,Montana,30756,33611,34794,52,9.3,3.5,44
Rosebud,Montana,39764,40705,42250,37,2.4,3.8,41
Sanders,Montana,32567,33508,34896,51,2.9,4.1,39
Silver Bow,Montana,44818,47009,48939,12,4.9,4.1,40
Stillwater,Montana,47095,49065,51773,5,4.2,5.5,25
Sweet Grass,Montana,41612,42167,44455,30,1.3,5.4,27
Toole,Montana,41173,41874,45481,23,1.7,8.6,10
Treasure,Montana,45700,43436,48415,14,-5,11.5,5
Wheatland,Montana,36412,33292,35934,48,-8.6,7.9,12
Wibaux,Montana,40989,48000,50940,6,17.1,6.1,22
Yellowstone,Montana,47724,49899,52340,4,4.6,4.9,35
Nebraska,Nebraska,49703,50663,53263,--,1.9,5.1,--
Antelope,Nebraska,50245,46749,46981,58,-7,0.5,83
Arthur,Nebraska,39906,38440,46901,59,-3.7,22,2
Banner,Nebraska,70832,47049,58252,5,-33.6,23.8,1
Box Butte,Nebraska,42644,45096,47359,52,5.7,5,50
Buffalo,Nebraska,49640,51634,54052,14,4,4.7,54
Burt,Nebraska,48634,47778,50268,31,-1.8,5.2,46
Cherry,Nebraska,52670,44551,45124,68,-15.4,1.3,80
Colfax,Nebraska,41303,39161,43106,81,-5.2,10.1,14
Cuming,Nebraska,72566,56805,58610,4,-21.7,3.2,71
Dawes,Nebraska,37097,36124,37092,93,-2.6,2.7,77
Deuel,Nebraska,40754,39143,44289,74,-4,13.1,9
Dixon,Nebraska,44382,41756,44185,75,-5.9,5.8,41
Dundy,Nebraska,56297,49255,53144,19,-12.5,7.9,26
Frontier,Nebraska,43451,41620,44469,72,-4.2,6.8,31
Furnas,Nebraska,46856,44954,49008,41,-4.1,9,19
Gage,Nebraska,45719,47267,49863,34,3.4,5.5,43
Garden,Nebraska,42440,39119,40892,88,-7.8,4.5,58
Gosper,Nebraska,46707,45414,52671,22,-2.8,16,7
Hayes,Nebraska,55907,41504,45409,66,-25.8,9.4,17
Hitchcock,Nebraska,37562,36388,37990,90,-3.1,4.4,62
Hooker,Nebraska,63300,51251,52667,23,-19,2.8,75
Kearney,Nebraska,63529,53680,56309,10,-15.5,4.9,52
Keith,Nebraska,42981,42074,45896,62,-2.1,9.1,18
Keya Paha,Nebraska,69845,57783,58784,3,-17.3,1.7,78
Kimball,Nebraska,40950,43458,44069,77,6.1,1.4,79
Lancaster,Nebraska,45870,47565,49889,33,3.7,4.9,53
Loup,Nebraska,67387,49483,45361,67,-26.6,-8.3,91
Merrick,Nebraska,47561,45743,47386,51,-3.8,3.6,69
Morrill,Nebraska,49482,46306,49071,40,-6.4,6,39
Nance,Nebraska,37216,36183,38000,89,-2.8,5,49
Nuckolls,Nebraska,46253,45687,50836,28,-1.2,11.3,13
Otoe,Nebraska,49001,51478,53850,17,5.1,4.6,55
Perkins,Nebraska,52515,51096,55692,12,-2.7,9,20
Red Willow,Nebraska,43243,43499,46270,61,0.6,6.4,34
Richardson,Nebraska,45055,46076,48195,48,2.3,4.6,56
Sarpy,Nebraska,47009,48385,50333,30,2.9,4,67
Saunders,Nebraska,48259,49967,52193,24,3.5,4.5,60
Scotts Bluff,Nebraska,41808,41969,44171,76,0.4,5.2,45
Thayer,Nebraska,51044,49838,57523,6,-2.4,15.4,8
Thurston,Nebraska,43014,41500,41468,86,-3.5,-0.1,87
Churchill,Nevada,39636,41609,43661,10,5,4.9,8
Elko,Nevada,43116,44746,46808,8,3.8,4.6,10
Esmeralda,Nevada,43768,43346,40113,11,-1,-7.5,17
Eureka,Nevada,34927,37990,39903,12,8.8,5,7
Lander,Nevada,56588,60805,63923,2,7.5,5.1,6
Nye,Nevada,35557,36551,37835,15,2.8,3.5,14
Pershing,Nevada,30863,32938,32592,17,6.7,-1.1,16
Storey,Nevada,45145,52606,59651,3,16.5,13.4,1
Washoe,Nevada,52326,56151,59639,4,7.3,6.2,4
White Pine,Nevada,39294,42007,44736,9,6.9,6.5,3
Carson City,Nevada,45617,48065,50754,5,5.4,5.6,5
New Hampshire,Nevada,56480,58397,61294,--,3.4,5,--
Belknap,Nevada,56224,58036,61091,3,3.2,5.3,1
Cheshire,Nevada,48674,49671,51969,7,2,4.6,7
Coos,Nevada,40032,41448,43098,10,3.5,4,10
Grafton,Nevada,56627,57494,60426,4,1.5,5.1,3
Merrimack,Nevada,53868,55169,57924,6,2.4,5,4
Rockingham,Nevada,66798,70163,73819,1,5,5.2,2
Strafford,Nevada,46776,48263,50574,9,3.2,4.8,6
New Jersey,New Jersey,62701,64924,68236,--,3.5,5.1,--
Bergen,New Jersey,79145,81483,85951,4,3,5.5,4
Burlington,New Jersey,57802,59389,62120,10,2.7,4.6,14
Cape May,New Jersey,55995,57976,60877,13,3.5,5,9
Gloucester,New Jersey,50747,52455,54745,15,3.4,4.4,18
Hudson,New Jersey,58466,62461,65139,9,6.8,4.3,21
Hunterdon,New Jersey,83645,84958,89610,3,1.6,5.5,5
Monmouth,New Jersey,72873,75762,79978,5,4,5.6,3
Ocean,New Jersey,48490,49749,52008,17,2.6,4.5,16
Passaic,New Jersey,47770,48294,50570,18,1.1,4.7,13
Salem,New Jersey,45690,46435,48496,20,1.6,4.4,17
New Mexico,New Mexico,38825,39521,41609,--,1.8,5.3,--
Bernalillo,New Mexico,41460,42112,44057,6,1.6,4.6,14
Catron,New Mexico,29944,30739,32010,29,2.7,4.1,21
Chaves,New Mexico,36433,38118,40322,11,4.6,5.8,7
Cibola,New Mexico,26956,27098,28130,32,0.5,3.8,27
Curry,New Mexico,42300,43467,44161,5,2.8,1.6,30
De Baca,New Mexico,39860,38634,39634,13,-3.1,2.6,29
Doña Ana,New Mexico,34516,35144,36570,19,1.8,4.1,23
Eddy,New Mexico,46601,47687,54122,3,2.3,13.5,2
Guadalupe,New Mexico,34000,31501,32994,27,-7.4,4.7,13
Harding,New Mexico,43750,36820,38716,16,-15.8,5.1,10
Hidalgo,New Mexico,38996,38969,41555,8,-0.1,6.6,4
Lea,New Mexico,34132,38167,44437,4,11.8,16.4,1
Los Alamos,New Mexico,68297,67791,70600,1,-0.7,4.1,20
Luna,New Mexico,30154,29887,31140,30,-0.9,4.2,18
McKinley,New Mexico,26316,26636,27771,33,1.2,4.3,17
Mora,New Mexico,41616,34013,35534,20,-18.3,4.5,16
Quay,New Mexico,35630,36686,38223,18,3,4.2,19
Rio Arriba,New Mexico,33122,33084,34582,24,-0.1,4.5,15
Sandoval,New Mexico,39762,39928,41547,9,0.4,4.1,24
Santa Fe,New Mexico,54386,55273,58510,2,1.6,5.9,6
Socorro,New Mexico,32756,32718,34699,22,-0.1,6.1,5
Taos,New Mexico,35896,36575,38455,17,1.9,5.1,11
Torrance,New Mexico,29114,29072,30245,31,-0.1,4,25
Valencia,New Mexico,31755,32111,33424,26,1.1,4.1,22
New York,New York,61226,65644,68668,--,7.2,4.6,--
Albany,New York,55698,59429,61201,7,6.7,3,38
Bronx,New York,33721,36321,37376,61,7.7,2.9,40
Broome,New York,40613,42970,44540,35,5.8,3.7,25
Cattaraugus,New York,36722,38988,39995,53,6.2,2.6,47
Cayuga,New York,39060,40976,42231,43,4.9,3.1,36
Chemung,New York,40618,42745,44373,37,5.2,3.8,19
Chenango,New York,38546,40907,41840,45,6.1,2.3,51
Cortland,New York,37497,39592,40691,50,5.6,2.8,42
Dutchess,New York,51499,53918,56365,10,4.7,4.5,6
Erie,New York,47382,49957,51539,19,5.4,3.2,33
Herkimer,New York,38018,40487,41581,47,6.5,2.7,46
Niagara,New York,41750,44181,45501,31,5.8,3,37
Onondaga,New York,48312,51012,52886,15,5.6,3.7,24
Ontario,New York,49370,51842,53498,13,5,3.2,29
Oswego,New York,36884,39285,40538,51,6.5,3.2,30
Queens,New York,44781,47956,49777,22,7.1,3.8,20
Rensselaer,New York,45586,47797,49156,23,4.9,2.8,41
Rockland,New York,55703,57966,60464,8,4.1,4.3,7
St. Lawrence,New York,34566,36935,37940,59,6.9,2.7,44
Saratoga,New York,62444,64977,67618,5,4.1,4.1,13
Schenectady,New York,47423,49202,50533,20,3.8,2.7,45
Schoharie,New York,37190,39357,40791,48,5.8,3.6,26
Seneca,New York,35155,37724,38593,58,7.3,2.3,50
Tioga,New York,41904,44115,45910,29,5.3,4.1,12
Tompkins,New York,40989,43466,45282,32,6,4.2,10
Ulster,New York,46211,48508,50462,21,5,4,14
Westchester,New York,96308,103169,108976,2,7.1,5.6,2
Wyoming,New York,36788,39139,39801,54,6.4,1.7,59
Yates,New York,36726,38824,39402,56,5.7,1.5,61
Alamance,North Carolina,37317,38141,39342,42,2.2,3.1,78
Alleghany,North Carolina,36440,36949,37549,54,1.4,1.6,94
Anson,North Carolina,31577,33531,34616,81,6.2,3.2,75
Ashe,North Carolina,34325,35368,36300,64,3,2.6,89
Avery,North Carolina,33428,34942,36574,63,4.5,4.7,20
Beaufort,North Carolina,39151,40279,41643,30,2.9,3.4,69
Bertie,North Carolina,32116,33839,34766,79,5.4,2.7,85
Bladen,North Carolina,32273,33917,34306,83,5.1,1.1,95
Brunswick,North Carolina,40295,41619,42749,27,3.3,2.7,88
Buncombe,North Carolina,44412,46143,48592,12,3.9,5.3,6
Cabarrus,North Carolina,42529,43546,45220,22,2.4,3.8,51
Carteret,North Carolina,46800,47248,49360,10,1,4.5,29
Caswell,North Carolina,33394,34566,35591,73,3.5,3,82
Catawba,North Carolina,41748,43318,45342,18,3.8,4.7,19
Chowan,North Carolina,36798,38904,40817,34,5.7,4.9,10
Columbus,North Carolina,30496,31351,32397,95,2.8,3.3,71
Craven,North Carolina,41563,41831,43665,23,0.6,4.4,32
Dare,North Carolina,51698,53834,56314,5,4.1,4.6,24
Davidson,North Carolina,36441,37867,39087,43,3.9,3.2,76
Davie,North Carolina,44022,45965,47630,13,4.4,3.6,57
Duplin,North Carolina,31797,33900,33619,88,6.6,-0.8,100
Durham,North Carolina,46255,48051,50698,8,3.9,5.5,4
Edgecombe,North Carolina,32303,33327,34946,78,3.2,4.9,12
Gaston,North Carolina,38177,39795,41379,31,4.2,4,49
Gates,North Carolina,33796,35418,36060,67,4.8,1.8,92
Granville,North Carolina,35773,36852,38652,46,3,4.9,11
Guilford,North Carolina,43059,44268,45875,15,2.8,3.6,56
Halifax,North Carolina,33547,34615,36013,68,3.2,4,48
Harnett,North Carolina,32019,33064,34604,82,3.3,4.7,21
Haywood,North Carolina,37580,38634,40290,37,2.8,4.3,35
Hertford,North Carolina,30334,31830,32702,93,4.9,2.7,84
Hoke,North Carolina,29080,29898,31148,97,2.8,4.2,42
Hyde,North Carolina,39118,42039,43490,25,7.5,3.5,66
Iredell,North Carolina,47134,48027,50065,9,1.9,4.2,38
Johnston,North Carolina,37337,38249,39922,40,2.4,4.4,34
Lenoir,North Carolina,37291,39268,40922,33,5.3,4.2,41
McDowell,North Carolina,31212,32721,34077,85,4.8,4.1,44
Mecklenburg,North Carolina,55276,58539,61137,3,5.9,4.4,30
Moore,North Carolina,48201,49257,51307,7,2.2,4.2,43
Nash,North Carolina,39075,40255,42016,29,3,4.4,33
New Hanover,North Carolina,42769,43722,45290,21,2.2,3.6,58
Northampton,North Carolina,31164,33064,34185,84,6.1,3.4,68
Pamlico,North Carolina,39184,41610,43532,24,6.2,4.6,23
Pasquotank,North Carolina,37108,38091,39417,41,2.6,3.5,65
Pender,North Carolina,34829,35296,35914,70,1.3,1.8,93
Perquimans,North Carolina,38002,39533,40781,35,4,3.2,77
Person,North Carolina,35211,36510,38202,51,3.7,4.6,22
Pitt,North Carolina,38611,39873,41191,32,3.3,3.3,74
Robeson,North Carolina,27604,28270,29438,100,2.4,4.1,46
Rutherford,North Carolina,30524,31351,32764,92,2.7,4.5,27
Sampson,North Carolina,34623,36130,35900,71,4.4,-0.6,99
Stanly,North Carolina,36037,37703,39047,44,4.6,3.6,59
Stokes,North Carolina,34130,35623,36850,59,4.4,3.4,67
Surry,North Carolina,36283,37284,38522,48,2.8,3.3,73
Swain,North Carolina,35771,37192,38429,50,4,3.3,72
Transylvania,North Carolina,38964,40066,42070,28,2.8,5,8
Tyrrell,North Carolina,30271,29728,30000,99,-1.8,0.9,96
Wake,North Carolina,54584,55860,59014,4,2.3,5.6,3
Watauga,North Carolina,34244,35384,36684,61,3.3,3.7,55
Yadkin,North Carolina,34630,36046,37027,57,4.1,2.7,87
Yancey,North Carolina,33002,34410,36715,60,4.3,6.7,1
North Dakota,North Dakota,52525,52669,55452,--,0.3,5.3,--
Barnes,North Dakota,52014,51317,55784,24,-1.3,8.7,18
Benson,North Dakota,32423,31802,34482,52,-1.9,8.4,20
Billings,North Dakota,66091,73638,74682,1,11.4,1.4,43
Bottineau,North Dakota,49074,50630,58823,18,3.2,16.2,5
Bowman,North Dakota,55042,58542,60829,11,6.4,3.9,31
Burleigh,North Dakota,56668,56041,58173,19,-1.1,3.8,33
Cavalier,North Dakota,60786,57084,68040,3,-6.1,19.2,2
Dickey,North Dakota,50502,46920,52437,33,-7.1,11.8,10
Divide,North Dakota,47777,48780,48574,45,2.1,-0.4,48
Dunn,North Dakota,54007,58392,60338,14,8.1,3.3,36
Emmons,North Dakota,49078,46819,49489,42,-4.6,5.7,26
Foster,North Dakota,63074,62124,62928,7,-1.5,1.3,45
Grand Forks,North Dakota,48447,49288,51494,37,1.7,4.5,28
Griggs,North Dakota,57999,53404,55349,25,-7.9,3.6,35
Hettinger,North Dakota,37691,49252,51130,38,30.7,3.8,32
Kidder,North Dakota,44315,46102,50285,40,4,9.1,17
LaMoure,North Dakota,52918,45878,56134,21,-13.3,22.4,1
McKenzie,North Dakota,54586,58378,62549,8,6.9,7.1,23
Mountrail,North Dakota,52105,53085,58955,17,1.9,11.1,13
Oliver,North Dakota,46660,46260,48290,46,-0.9,4.4,29
Pembina,North Dakota,49327,52261,50088,41,5.9,-4.2,52
Ransom,North Dakota,48911,50854,55912,23,4,9.9,15
Rolette,North Dakota,33748,34033,36647,50,0.8,7.7,21
Sargent,North Dakota,60879,58106,65448,4,-4.6,12.6,9
Slope,North Dakota,53031,44331,49476,43,-16.4,11.6,11
Stutsman,North Dakota,50879,49889,54491,29,-1.9,9.2,16
Towner,North Dakota,44820,45601,53786,31,1.7,17.9,4
Traill,North Dakota,48598,50421,51103,39,3.8,1.4,44
Walsh,North Dakota,44300,47825,48945,44,8,2.3,41
Ward,North Dakota,51464,51354,55214,27,-0.2,7.5,22
Williams,North Dakota,63594,65617,68874,2,3.2,5,27
Ashland,Ohio,35565,36962,38441,70,3.9,4,60
Ashtabula,Ohio,35556,37112,38461,68,4.4,3.6,70
Athens,Ohio,31366,32414,33274,85,3.3,2.7,88
Auglaize,Ohio,43996,46638,49578,18,6,6.3,12
Belmont,Ohio,36586,39612,42429,43,8.3,7.1,7
Clermont,Ohio,48658,51123,53770,9,5.1,5.2,21
Columbiana,Ohio,35263,36481,38013,73,3.5,4.2,53
Coshocton,Ohio,32208,33511,34856,80,4,4,59
Cuyahoga,Ohio,50391,52313,54739,8,3.8,4.6,35
Darke,Ohio,37917,40146,42793,41,5.9,6.6,9
Defiance,Ohio,38724,39462,41540,48,1.9,5.3,18
Gallia,Ohio,36001,37425,39864,58,4,6.5,11
Geauga,Ohio,63564,65854,69129,2,3.6,5,26
Guernsey,Ohio,36305,38473,39878,57,6,3.7,69
Highland,Ohio,33243,35029,36326,78,5.4,3.7,67
Hocking,Ohio,35190,36851,38047,72,4.7,3.2,80
Licking,Ohio,42789,44464,46059,27,3.9,3.6,74
Lorain,Ohio,42822,44299,46147,25,3.4,4.2,55
Mahoning,Ohio,40694,41326,43097,38,1.6,4.3,47
Medina,Ohio,51785,53364,55691,6,3,4.4,43
Meigs,Ohio,32100,33091,34067,83,3.1,2.9,84
Morrow,Ohio,35983,37585,38666,66,4.5,2.9,85
Muskingum,Ohio,38140,39195,40614,54,2.8,3.6,71
Pickaway,Ohio,37691,39759,41131,50,5.5,3.5,78
Portage,Ohio,40422,42176,44055,34,4.3,4.5,39
Preble,Ohio,37549,38751,40607,55,3.2,4.8,31
Ross,Ohio,34179,35512,36941,77,3.9,4,58
Sandusky,Ohio,38391,39827,41624,47,3.7,4.5,37
Scioto,Ohio,35562,36917,39080,63,3.8,5.9,13
Trumbull,Ohio,38255,39457,41363,49,3.1,4.8,28
Tuscarawas,Ohio,39793,41603,43358,37,4.5,4.2,50
Van Wert,Ohio,38295,39815,42638,42,4,7.1,8
Vinton,Ohio,30999,32114,33120,87,3.6,3.1,83
Wood,Ohio,44125,45082,47694,19,2.2,5.8,14
Wyandot,Ohio,40336,42162,45588,31,4.5,8.1,3
Oklahoma,Oklahoma,41871,43634,46233,--,4.2,6,--
Alfalfa,Oklahoma,37194,38924,40624,33,4.7,4.4,46
Atoka,Oklahoma,29670,30968,32379,66,4.4,4.6,41
Beaver,Oklahoma,43884,47038,49106,7,7.2,4.4,45
Beckham,Oklahoma,33587,35662,37948,40,6.2,6.4,14
Canadian,Oklahoma,42007,43108,44878,15,2.6,4.1,48
Cimarron,Oklahoma,56653,59361,60706,3,4.8,2.3,69
Coal,Oklahoma,30583,31645,33783,59,3.5,6.8,11
Cotton,Oklahoma,38337,38520,41766,25,0.5,8.4,5
Craig,Oklahoma,33932,34497,35718,50,1.7,3.5,57
