county,state,2016,2017,2018,rank in State,% change 2017,% change 2018,rank 2018
Lonoke,Arkansas,36977,37525,38764,11,1.5,3.3,55
Miller,Arkansas,32193,32452,33401,50,0.8,2.9,61
Mississippi,Arkansas,28609,29581,31428,59,3.4,6.2,3
Nevada,Arkansas,31802,33006,34180,45,3.8,3.6,48
Newton,Arkansas,27186,27645,28808,71,1.7,4.2,22
Ouachita,Arkansas,33945,35026,36907,23,3.2,5.4,5
Phillips,Arkansas,28886,30148,31128,62,4.4,3.3,56
Poinsett,Arkansas,29462,30921,32315,56,5,4.5,17
Polk,Arkansas,28063,29313,30751,65,4.5,4.9,14
Pope,Arkansas,33012,33972,35261,35,2.9,3.8,42
Prairie,Arkansas,32574,34208,35935,29,5,5,9
Pulaski,Arkansas,47966,49129,51185,2,2.4,4.2,25
St. Francis,Arkansas,25970,27464,27948,73,5.8,1.8,70
Saline,Arkansas,39583,40160,41397,6,1.5,3.1,59
Scott,Arkansas,28340,30330,31401,60,7,3.5,52
Searcy,Arkansas,26630,27109,28511,72,1.8,5.2,7
Sebastian,Arkansas,39627,40486,42110,5,2.2,4,32
Sevier,Arkansas,29445,30197,31436,58,2.6,4.1,29
Sharp,Arkansas,30582,31022,32012,57,1.4,3.2,58
Stone,Arkansas,28461,29491,31086,63,3.6,5.4,4
Union,Arkansas,39569,43507,46474,3,10,6.8,1
Van Buren,Arkansas,29480,30051,31176,61,1.9,3.7,43
White,Arkansas,33214,34232,35445,32,3.1,3.5,51
Woodruff,Arkansas,33231,35322,37545,18,6.3,6.3,2
Yell,Arkansas,30496,32100,33320,51,5.3,3.8,41
California,California,57739,60156,63557,--,4.2,5.7,--
Alameda,California,67567,71560,76644,6,5.9,7.1,11
Alpine,California,74606,68492,73307,8,-8.2,7,12
Amador,California,42701,43405,44793,40,1.6,3.2,53
Butte,California,42015,42653,44346,42,1.5,4,44
Calaveras,California,45703,47177,49893,30,3.2,5.8,16
Colusa,California,45163,45475,49094,31,0.7,8,2
Contra Costa,California,72483,76886,82506,5,6.1,7.3,9
Del Norte,California,35868,36172,37268,56,0.8,3,54
El Dorado,California,62864,64519,67464,11,2.6,4.6,34
Fresno,California,40327,41137,43084,45,2,4.7,32
Glenn,California,44313,44935,48613,33,1.4,8.2,1
Humboldt,California,45205,46493,48739,32,2.8,4.8,28
Imperial,California,35406,36537,36974,57,3.2,1.2,57
Inyo,California,57580,59340,61358,19,3.1,3.4,50
Kern,California,37920,38467,39703,53,1.4,3.2,52
Kings,California,33457,34323,35306,58,2.6,2.9,55
Lake,California,40258,41460,43185,44,3,4.2,41
Lassen,California,36253,36350,37844,55,0.3,4.1,42
Los Angeles,California,57127,59058,62224,15,3.4,5.4,20
Madera,California,37209,38062,39897,52,2.3,4.8,29
Mariposa,California,48877,50703,53143,25,3.7,4.8,30
Mendocino,California,46602,47611,50150,29,2.2,5.3,21
Merced,California,36786,38037,38519,54,3.4,1.3,56
Modoc,California,43301,43224,44822,39,-0.2,3.7,47
Mono,California,46528,51584,51325,28,10.9,-0.5,58
Monterey,California,52686,53989,56193,21,2.5,4.1,43
Napa,California,67580,69791,74984,7,3.3,7.4,6
Orange,California,63086,65709,69268,10,4.2,5.4,19
Placer,California,61838,64015,66700,12,3.5,4.2,37
Plumas,California,49058,50905,53599,24,3.8,5.3,22
Riverside,California,37936,38975,40637,49,2.7,4.3,36
Sacramento,California,48965,50445,52544,26,3,4.2,40
San Benito,California,48634,50955,53822,23,4.8,5.6,18
San Bernardino,California,37592,38648,40316,51,2.8,4.3,35
San Diego,California,56322,58097,61386,18,3.2,5.7,17
San Francisco,California,114697,121778,130696,2,6.2,7.3,8
San Joaquin,California,41094,42391,44995,38,3.2,6.1,15
San Luis Obispo,California,53041,55635,58491,20,4.9,5.1,25
San Mateo,California,107207,117389,126392,3,9.5,7.7,4
Santa Barbara,California,57432,59633,62690,14,3.8,5.1,26
Santa Clara,California,92505,100177,107877,4,8.3,7.7,3
Shasta,California,43412,44480,46582,36,2.5,4.7,33
Sierra,California,42870,44508,46615,35,3.8,4.7,31
Siskiyou,California,42913,43652,45065,37,1.7,3.2,51
